journal_name,subject_area,print_number,online_number,journal_link
SADJ                            South African Dental Journal,Medicine: Dentistry,1029-4864,2519-0105,https://doaj.org/toc/1029-4864
Journal of Public Health and Primary Care,Medicine: Public aspects of medicine,2772-3666,2772-3674,https://doaj.org/toc/2772-3666
Олон улс судлал                            Journal of International Studies,Political science: International relations,2312-4512,2663-7871,https://doaj.org/toc/2312-4512
National Security and the Future,Military Science,1332-4454,1846-1425,https://doaj.org/toc/1332-4454
Revista de Patología Respiratoria,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the respiratory system,,2173-920X,https://doaj.org/toc/2173-920X
Cancer Pathogenesis and Therapy,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,2097-2563,2949-7132,https://doaj.org/toc/2097-2563
Saudi Journal of Language Studies,Language and Literature,2634-243X,2634-2448,https://doaj.org/toc/2634-243X
Intensive Care Research,Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid,,2666-9862,https://doaj.org/toc/2666-9862
Mashdar                            Mashdar: Jurnal Studi Al-Qur'an dan Hadis,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",2685-1547,2685-1555,https://doaj.org/toc/2685-1547
Estudios sobre el Mensaje Periodístico,"Language and Literature: Philology. Linguistics: Communication. Mass media
Language and Literature: Literature (General): Journalism. The periodical press, etc.",1134-1629,1988-2696,https://doaj.org/toc/1134-1629
پژوهش‌نامه کلام تطبیقی شیعه                            Shia Comparative Theology,Law: Islamic law,,2717-1116,https://doaj.org/toc/2717-1116
Acta Universitatis Lodziensis. Folia Psychologica,Philosophy. Psychology. Religion: Psychology,1427-969X,2353-4842,https://doaj.org/toc/1427-969X
Al-Misykah                            Al-Misykah: Jurnal Studi Al-Qur'an dan Tafsir,"Philosophy. Psychology. Religion: Ethics: Religious ethics
Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",,2809-3305,https://doaj.org/toc/2809-3305
Placentum                            Placentum: Jurnal Ilmiah Kesehatan dan Aplikasinya,"Medicine: Gynecology and obstetrics
Medicine: Nursing",2303-3746,2620-9969,https://doaj.org/toc/2303-3746
Časopis pro Právní Vědu a Praxi                            Journal of Jurisprudence and Legal Practice,Law,1210-9126,1805-2789,https://doaj.org/toc/1210-9126
Indonesian Comparative Law Review,Law: Law in general. Comparative and uniform law. Jurisprudence,2655-2353,2655-6545,https://doaj.org/toc/2655-2353
BMC Digital Health,Medicine: Medicine (General): Computer applications to medicine. Medical informatics,,2731-684X,https://doaj.org/toc/2731-684X
New Zealand Medical Student Journal,Medicine: Medicine (General),1176-5178,1179-3597,https://doaj.org/toc/1176-5178
MusPed: Research,Music and books on Music: Musical instruction and study,,2703-7843,https://doaj.org/toc/2703-7843
Journal of Plastic and Reconstructive Surgery,Medicine: Surgery,,2436-259X,https://doaj.org/toc/2436-259X
Korean Journal of Community Nutrition,"Technology: Home economics: Nutrition. Foods and food supply
Medicine: Internal medicine: Specialties of internal medicine: Nutritional diseases. Deficiency diseases",,2951-3146,https://doaj.org/toc/2951-3146
روانشناسی زن                            Psychology of Woman Journal,Philosophy. Psychology. Religion,,2783-333X,https://doaj.org/toc/2783-333X
Iranian Journal of Blood and Cancer                            IJBC,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,2008-4595,2008-4609,https://doaj.org/toc/2008-4595
Diversity                            Diversity: Disease Preventive of Research Integrity,Medicine: Public aspects of medicine,2774-9649,2775-0035,https://doaj.org/toc/2774-9649
Pescadora de Perlas                            Pescadora de Perlas: Revista de Estudios Arendtianos,"Political science
Philosophy. Psychology. Religion",2953-5093,2953-4410,https://doaj.org/toc/2953-5093
دراسات: علوم الشريعة والقانون                            Dirasat: Shari’a and Law Sciences,Law: Islamic law,1026-3748,2663-6239,https://doaj.org/toc/1026-3748
Dos Mil Tres Mil,"Law
Political science",0123-3408,2539-1933,https://doaj.org/toc/0123-3408
Hypertension in Pregnancy,Medicine: Gynecology and obstetrics,1064-1955,1525-6065,https://doaj.org/toc/1064-1955
Lokman Hekim Health Sciences,Medicine,,2791-7835,https://doaj.org/toc/2791-7835
Hitit İlahiyat Dergisi                            Hitit Theology Journal,"Social Sciences
Philosophy. Psychology. Religion",,2757-6949,https://doaj.org/toc/2757-6949
حکمت و فلسفه                            Wisdom and Philosophy,Philosophy. Psychology. Religion: Philosophy (General),1735-3238,2476-6038,https://doaj.org/toc/1735-3238
Nurse and Holistic Care,Medicine: Nursing,2797-6971,2797-7188,https://doaj.org/toc/2797-6971
Translation Studies: Theory and Practice,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,2738-2699,2738-2826,https://doaj.org/toc/2738-2699
Journal of Contemporary Poetics                            JCP,Language and Literature,2521-5728,2788-7359,https://doaj.org/toc/2521-5728
Saudi Journal of Emergency Medicine,Medicine,,1658-8487,https://doaj.org/toc/1658-8487
Journal of English Language Teaching and Literature                            JELITA,Language and Literature,2721-1096,2721-1916,https://doaj.org/toc/2721-1096
Al-Adl                            Al-Adl: Jurnal Hukum,"Social Sciences
Law",1979-4940,2477-0124,https://doaj.org/toc/1979-4940
Journal of Umm Al-Qura University for Language Sciences and Literature,Language and Literature,,1658-8126,https://doaj.org/toc/1658-8126
مطالعات ادیان و عرفان تطبیقی                            Studies in Comparative Religion and Mysticism,Philosophy. Psychology. Religion: Religions. Mythology. Rationalism,,2676-5195,https://doaj.org/toc/2676-5195
Hail Journal of Health Sciences,Medicine,1658-8312,1658-8592,https://doaj.org/toc/1658-8312
Digital Journal of Clinical Medicine                            DJCM,Medicine,,2582-3868,https://doaj.org/toc/2582-3868
Asian Review of Political Economy,"Political science: Political institutions and public administration - Asia (Asian studies only)
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",,2731-5835,https://doaj.org/toc/2731-5835
Advanced Gut & Microbiome Research,"Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology
Science: Microbiology",,2755-1652,https://doaj.org/toc/2755-1652
GastroHep.com                            GastroHep,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology,,1478-1239,https://doaj.org/toc/1478-1239
Translational Sports Medicine,Medicine: Internal medicine: Special situations and conditions: Sports medicine,,2573-8488,https://doaj.org/toc/2573-8488
Journal of Local Government Issues                            Logos,Law: Law in general. Comparative and uniform law. Jurisprudence,2620-8091,2620-3812,https://doaj.org/toc/2620-8091
IUS Doctrina,Political science,1659-3685,1659-3707,https://doaj.org/toc/1659-3685
جامعه شناسی سیاسی جهان اسلام                            Journal of Political Sociology of the Islamic World,"Social Sciences: Sociology (General)
Law: Islamic law",,2980-9371,https://doaj.org/toc/2980-9371
Revista Naţională de Drept                            National Law Journal,Law,1811-0770,2587-411X,https://doaj.org/toc/1811-0770
Ikatan Penulis Mahasiswa Hukum Indonesian Law Journal                            IPMHI Law Journal,Law,2797-8508,2807-8330,https://doaj.org/toc/2797-8508
Tidsskrift for Praktisk Teologi                            Nordic Journal of Practical Theology,Philosophy. Psychology. Religion: Practical Theology,1893-4773,,https://doaj.org/toc/1893-4773
Skriftkultur,Language and Literature,,2535-7395,https://doaj.org/toc/2535-7395
Consilium                            Consilium: Berkala Kajian Konseling dan Ilmu Keagamaan,Philosophy. Psychology. Religion,2338-0608,2654-878X,https://doaj.org/toc/2338-0608
Revista Brasileira de Medicina do Trabalho                            Brazilian Journal of Occupational Medicine,Medicine: Internal medicine: Special situations and conditions: Industrial medicine. Industrial hygiene,1679-4435,2447-0147,https://doaj.org/toc/1679-4435
آموزه‌‌های فقه مدني                            Civil Jurisprudence Doctrines,Law: Islamic law,2251-936X,2783-3690,https://doaj.org/toc/2251-936X
Journal of Primary Care Dentistry and Oral Health,Medicine: Dentistry,2772-3534,2772-3542,https://doaj.org/toc/2772-3534
Smart Medicine,Medicine: Medicine (General): Medical technology,2751-1863,2751-1871,https://doaj.org/toc/2751-1863
Revista Comunicando,"Social Sciences: Sociology (General)
Language and Literature: Literature (General): Journalism. The periodical press, etc.",2184-0636,2182-4037,https://doaj.org/toc/2184-0636
Journal of Movement Disorders,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system,2005-940X,2093-4939,https://doaj.org/toc/2005-940X
Jurnal Semiotika-Q                            Jurnal Semiotika-Q: Kajian Ilmu Al-Qur'an dan Tafsir,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",2809-6401,2809-0500,https://doaj.org/toc/2809-6401
El-Sunnah                            El-Sunnah: Jurnal Kajian Hadis dan Integrasi Ilmu,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",2828-2019,2809-1744,https://doaj.org/toc/2828-2019
Novelty in Clinical Medicine,Medicine,,2783-4492,https://doaj.org/toc/2783-4492
Teatervitenskapelige Studier,Language and Literature: Literature (General): Drama: Dramatic representation. The theater,0801-8294,2535-7662,https://doaj.org/toc/0801-8294
Pharmacological Research,Medicine: Therapeutics. Pharmacology,,1096-1186,https://doaj.org/toc/1096-1186
Molecular and Cellular Probes,"Science: Biology (General)
Medicine",0890-8508,1096-1194,https://doaj.org/toc/0890-8508
